"Product_ID","Product_Category_1","Product_Category_2","Product_Category_3","Total_Purchase","Num_Purchases"
"P00053442","1","2","16",743748,66
"P00053542","1","0","0",673484,67
"P00053642","7","0","0",1270370,79
"P00053742","5","14","0",474378,89
"P00053842","4","5","12",1424604,549
"P00053942","1","2","5",3648714,287
"P00054042","18","0","0",846871,280
"P00054142","16","0","0",141666,12
"P00054242","1","6","14",5232350,339
"P00054342","7","0","0",1287984,72
"P00054442","8","0","0",9941,1
"P00054542","1","2","3",842178,80
"P00054642","5","0","0",3830,2
"P00054742","8","0","0",27479,4
"P00054842","16","0","0",95734,7
"P00054942","5","8","0",1667318,253
"P00055042","8","0","0",72098,11
"P00055142","5","0","0",111288,27
"P00055242","11","0","0",141533,29
"P00055342","5","14","0",33401,5
"P00055442","8","0","0",59758,8
"P00055542","5","8","0",104979,15
"P00055642","4","5","0",115169,57
"P00055742","5","8","0",58904,9
"P00055842","8","0","0",123622,17
"P00055942","8","0","0",11897,2
"P00056042","8","0","0",99532,14
"P00056142","5","8","0",515539,86
"P00056242","4","5","0",124733,61
"P00056342","5","0","0",5175,1
"P00056442","2","4","0",260237,27
"P00056542","8","13","0",9790,1
"P00056642","16","0","0",8713,1
"P00056742","8","0","0",184629,26
"P00056842","7","0","0",1104054,67
"P00057042","5","8","0",70860,11
"P00057242","5","0","0",1120741,218
"P00057342","4","5","0",781326,351
"P00057442","5","14","16",3741706,605
"P00057542","3","4","5",7212169,700
"P00057642","1","15","16",21972412,1396
"P00057742","2","8","18",10016021,785
"P00057942","1","2","6",10620741,750
"P00058042","8","16","0",11740824,1363
"P00058142","3","4","12",4015912,385
"P00058242","3","4","12",5959658,565
"P00058342","3","4","0",2724425,271
"P00058442","5","14","0",3444364,535
"P00058542","5","0","0",33265,4
"P00058642","18","0","0",405987,126
"P00058742","16","0","0",183619,15
"P00058942","7","0","0",335549,20
"P00059042","5","0","0",126410,25
"P00059142","8","14","0",787013,120
"P00059242","11","0","0",169939,49
"P00059342","8","0","0",2256,1
"P00059442","6","8","16",23335527,1347
"P00059542","2","4","0",275298,28
"P00059642","1","2","3",4677220,341
"P00059742","1","11","15",1133776,114
"P00059842","5","0","0",179127,42
"P00059942","8","14","0",298310,43
"P00060042","8","16","0",22006,4
"P00060142","8","0","0",243692,31
"P00060242","3","4","0",1284991,146
"P00060342","8","0","0",30025,5
"P00060442","5","14","0",23336,5
"P00060542","5","0","0",86500,17
"P00060642","8","0","0",167019,23
"P00060742","14","0","0",7488,1
"P00060942","5","0","0",59236,13
"P00061042","8","16","0",451301,65
"P00061142","8","16","0",1928798,251
"P00061242","8","14","0",28259,5
"P00061342","3","4","12",265763,43
"P00061442","17","0","0",94059,8
"P00061542","5","0","0",63331,10
"P00061742","5","8","0",250539,38
"P00061842","5","0","0",309235,66
"P00061942","14","0","0",138871,11
"P00062042","5","0","0",187085,40
"P00062142","8","16","0",205330,37
"P00062342","8","0","0",3939,1
"P00062442","5","0","0",5436,1
"P00062642","8","0","0",89859,13
"P00062742","8","17","0",1767259,250
"P00062842","1","2","13",11034121,819
"P00062942","5","8","0",56143,7
"P00063042","8","0","0",329146,49
"P00063242","13","0","0",2490,5
"P00063342","1","2","9",3888207,312
"P00063442","5","0","0",1866,1
"P00063542","5","0","0",84150,19
"P00063642","5","8","0",5211,1
"P00063742","8","0","0",6006,1
"P00063842","6","16","0",155537,11
"P00064042","3","4","12",2599316,276
"P00064142","16","0","0",846827,68
"P00064242","5","0","0",939427,157
"P00064342","5","0","0",30041,5
"P00064442","17","0","0",163140,18
"P00064542","8","0","0",5897,1
"P00064642","1","0","0",210352,26
"P00064742","8","0","0",143958,17
"P00064842","8","0","0",78081,11
"P00064942","8","0","0",265426,31
"P00065042","5","15","0",1698898,257
"P00065142","8","0","0",4153,1
"P00065242","2","3","4",2584952,295
"P00065342","2","15","0",2038835,204
"P00065442","8","16","0",1348783,158
"P00065542","8","0","0",7766,1
"P00065642","15","0","0",552720,37
"P00065742","6","0","0",106813,6
"P00065842","7","8","0",38209,3
"P00065942","8","0","0",2139,1
"P00066042","8","0","0",107436,15
"P00066142","8","14","0",8264,2
"P00066242","1","2","5",951399,109
"P00066342","14","0","0",4095,1
"P00066442","5","14","0",347139,61
"P00066542","1","15","16",497021,52
"P00066642","1","0","0",757471,74
"P00066742","13","16","0",42818,69
"P00066842","16","0","0",42031,3
"P00066942","8","14","0",211482,42
"P00067042","8","0","0",16027,3
"P00067142","5","0","0",429964,72
"P00067342","8","0","0",108165,15
"P00067442","8","0","0",12383,3
"P00067542","1","2","0",209187,22
"P00067642","5","0","0",142454,22
"P00067742","8","0","0",2139,1
"P00067842","6","10","16",1822380,142
"P00067942","5","14","0",2145875,357
"P00068042","3","4","0",582455,73
"P00068142","5","0","0",117703,29
"P00068242","2","4","0",218122,24
"P00068342","8","0","0",7882,1
"P00068442","18","0","0",264961,90
"P00068542","8","0","0",197682,27
"P00068642","6","0","0",177576,16
"P00068742","5","0","0",7099,1
"P00068842","5","15","0",90391,15
"P00068942","5","0","0",613382,129
"P00069042","3","0","0",2621891,221
"P00069142","7","0","0",211660,13
"P00069242","8","11","0",1316918,216
"P00069342","5","0","0",207922,43
"P00069442","8","0","0",18115,3
"P00069542","5","0","0",809196,122
"P00069642","8","0","0",3999,1
"P00069742","8","0","0",1977,1
"P00069842","13","16","0",14875,27
"P00069942","6","0","0",41317,4
"P00070042","1","2","16",10331476,712
"P00070142","5","0","0",3565,1
"P00070242","5","11","0",360853,58
"P00070342","1","2","14",7090819,577
"P00070442","1","15","0",1248507,149
"P00070542","3","15","0",1854626,165
"P00070642","11","16","0",427149,106
"P00070742","5","0","0",216140,50
"P00070842","8","0","0",12355,3
"P00070942","3","5","16",4430912,362
"P00071042","10","0","0",353454,19
"P00071142","5","0","0",93224,26
"P00071242","1","15","16",2673911,220
"P00071342","8","0","0",16081,3
"P00071442","15","17","0",13223958,698
"P00071542","5","0","0",66417,10
"P00071642","5","8","0",89596,15
"P00071742","2","4","0",58199,6
"P00071842","4","8","0",7749,3
"P00071942","7","0","0",25454,2
"P00072042","8","0","0",7884,1
"P00072142","8","0","0",7947,1
"P00072242","7","0","0",577903,32
"P00072342","17","0","0",173089,20
"P00072442","2","0","0",598583,66
"P00072542","5","6","0",602296,158
"P00072742","8","14","0",194461,32
"P00072842","5","8","0",399617,84
"P00072942","8","0","0",436451,65
"P00073042","8","0","0",91991,15
"P00073142","7","0","0",87534,6
"P00073242","5","8","0",34759,5
"P00073342","8","0","0",7913,1
"P00073442","11","0","0",12107,2
"P00073542","5","8","0",12145,2
"P00073642","8","0","0",3234401,403
"P00073742","8","14","0",139206,26
"P00073842","1","15","17",12153120,894
"P00073942","8","0","0",360975,53
"P00074042","16","0","0",835385,78
"P00074142","3","4","12",1696347,191
"P00074242","5","0","0",1004143,209
"P00074342","5","0","0",2422165,399
"P00074442","1","16","0",2889761,240
"P00074542","7","0","0",20323,1
"P00074642","5","9","14",2660320,497
"P00074742","8","0","0",7884,1
"P00074842","8","0","0",6031,1
"P00075042","9","0","0",18456,1
"P00075142","8","0","0",29597,6
"P00075242","8","0","0",12071,2
"P00075342","1","2","16",1089557,100
"P00075442","5","11","0",1031844,176
"P00075542","8","13","0",2692650,336
"P00075642","4","5","0",129294,61
"P00075742","8","14","0",1579121,227
"P00075842","14","0","0",484762,34
"P00075942","5","14","0",594365,114
"P00076042","8","0","0",1417119,196
"P00076142","8","0","0",180614,29
"P00076242","5","14","0",21258,4
"P00076342","2","4","0",160591,15
"P00076442","1","2","0",479343,48
"P00076542","4","5","9",78076,69
"P00076642","5","0","0",31714,5
"P00076742","5","0","0",122309,27
"P00076942","1","13","16",43843,5
"P00077042","5","0","0",394830,92
"P00077142","8","0","0",10088,2
"P00077242","14","0","0",4073,1
"P00077342","8","0","0",9930,1
"P00077442","8","0","0",101365,12
"P00077542","8","0","0",2096,1
"P00077742","2","4","0",194140,22
"P00077842","5","12","0",301856,72
"P00077942","5","0","0",718580,141
"P00078042","8","0","0",77707,10
"P00078142","8","16","0",2066069,299
"P00078242","5","0","0",166778,44
"P00078342","5","0","0",7437,2
"P00078442","8","0","0",347313,55
"P00078542","1","2","16",1350977,132
"P00078642","4","5","0",281701,116
"P00078742","5","8","14",1888545,273
"P00078842","1","16","0",616525,70
"P00078942","5","0","0",109985,23
"P00079042","11","0","0",56171,10
"P00079142","11","0","0",369913,88
"P00079342","8","0","0",13882,2
"P00079442","8","0","0",119762,17
"P00079542","5","8","0",14701,5
"P00079642","8","0","0",555562,80
"P00079742","1","2","15",2575333,255
"P00079842","6","8","0",230338,16
"P00079942","8","0","0",439821,64
"P00080042","5","14","0",1833196,326
"P00080142","8","0","0",14162,2
"P00080242","8","0","0",35539,4
"P00080342","1","6","8",20423840,1162
"P00080442","7","0","0",8124,1
"P00080542","5","0","0",42676,7
"P00080642","1","16","0",1981275,143
"P00080742","8","0","0",121179,17
"P00080842","5","0","0",49445,8
"P00080942","5","8","0",58219,9
"P00081142","6","8","14",5058611,324
"P00081242","5","6","0",46289,12
"P00081342","5","0","0",5338,1
"P00081442","6","0","0",334007,27
"P00081542","5","0","0",102058,25
"P00081642","8","0","0",6138,1
"P00081742","6","8","0",61085,5
"P00081842","8","0","0",160630,26
"P00081942","1","0","0",127477,10
"P00082042","8","0","0",89530,13
"P00082242","11","0","0",561842,133
"P00082342","15","16","0",1507321,163
"P00082442","4","5","0",66887,35
"P00082542","8","16","0",152125,29
"P00082742","4","8","9",37636,20
"P00082842","1","0","0",568916,51
"P00082942","8","0","0",10075,2
"P00083042","3","4","0",150976,24
