"User_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Total_Purchase","Avg_Purchase","Max_Purchase","Min_Purchase","Num_Purchases"
"1000041","F","18-25","4","C","3","0",146237,9749.13333333333,20834,1655,15
"1000042","M","26-35","8","C","0","1",1467105,11927.6829268293,23425,2120,123
"1000043","M","26-35","12","A","0","0",137548,10580.6153846154,20961,5920,13
"1000044","M","46-50","17","B","3","1",1180380,9836.5,20964,214,120
"1000045","F","46-50","16","A","1","1",909523,5793.14012738853,19326,806,157
"1000046","M","18-25","19","C","4","0",138367,6918.35,19624,1784,20
"1000047","M","18-25","4","C","4","1",131303,9378.78571428571,15848,4135,14
"1000048","M","26-35","4","B","3","1",2748638,8254.16816816817,19352,564,333
"1000049","M","18-25","12","C","4","1",708437,12428.7192982456,19611,4015,57
"1000050","F","26-35","2","A","1","1",190719,8292.13043478261,17370,3508,23
"1000051","F","0-17","10","C","2","0",200772,8030.88,17271,1946,25
"1000052","M","18-25","4","C","0","0",523039,12453.3095238095,19687,1836,42
"1000053","M","26-35","0","B","1","0",4157824,11298.4347826087,23853,750,368
"1000054","M","51-55","1","C","4","1",187201,8139.17391304348,16601,2766,23
"1000055","F","36-45","12","B","1","0",104252,9477.45454545455,13561,5980,11
"1000056","M","36-45","20","C","0","1",382860,10347.5675675676,20382,2012,37
"1000057","M","18-25","19","C","2","0",293767,7532.48717948718,20957,702,39
"1000058","M","26-35","2","B","3","0",2798632,11105.6825396825,23907,740,252
"1000059","F","51-55","1","B","4","1",940195,7706.51639344262,23608,569,122
"1000060","M","51-55","1","C","1","1",279980,7999.42857142857,19568,558,35
"1000061","M","26-35","17","C","1","0",150970,8387.22222222222,15770,2108,18
"1000062","F","36-45","3","A","1","0",2443742,9050.8962962963,23792,571,270
"1000063","M","18-25","4","C","2","0",513597,9010.47368421053,23548,817,57
"1000064","M","18-25","1","A","1","1",198238,14159.8571428571,19557,5951,14
"1000065","M","36-45","12","C","2","1",882254,13573.1384615385,20872,2764,65
"1000066","M","26-35","18","C","2","0",224910,11245.5,19595,1481,20
"1000067","F","51-55","5","C","4","1",342638,9789.65714285714,20342,3569,35
"1000068","M","18-25","4","A","0","0",295023,7763.76315789474,19084,1725,38
"1000069","F","26-35","1","A","1","0",299955,9089.54545454545,20462,1978,33
"1000070","M","18-25","4","A","2","0",197545,8231.04166666667,20832,1459,24
"1000071","M","26-35","14","A","0","1",157105,9819.0625,19611,5140,16
"1000072","F","46-50","0","B","1","1",204474,8519.75,19475,1909,24
"1000073","M","18-25","4","A","4","0",1397458,10667.6183206107,19630,583,131
"1000074","M","36-45","14","A","2","1",318682,12257,23847,578,26
"1000075","F","0-17","10","C","4","0",1035228,9411.16363636364,19663,2096,110
"1000076","M","36-45","7","B","2","1",580143,11839.6530612245,20961,5973,49
"1000077","M","18-25","4","C","2","0",147366,7017.42857142857,16624,3611,21
"1000078","F","46-50","1","C","0","1",538123,6643.49382716049,13545,751,81
"1000079","F","46-50","0","A","1","0",124477,7779.8125,15943,555,16
"1000080","M","55+","1","C","3","1",339119,10939.3225806452,20300,2101,31
"1000081","F","26-35","0","A","1","1",620432,12408.64,23574,1420,50
"1000082","M","26-35","17","C","2","1",620751,10890.3684210526,19645,742,57
"1000083","F","26-35","2","C","1","0",508917,9978.76470588235,19700,1757,51
"1000084","M","18-25","4","C","1","0",261782,12465.8095238095,20595,2036,21
"1000085","M","18-25","4","C","1","0",148849,7834.15789473684,20539,2958,19
"1000086","F","0-17","10","C","3","0",283742,13511.5238095238,23281,740,21
"1000087","M","26-35","14","C","2","0",407327,11008.8378378378,19687,1822,37
"1000088","F","46-50","1","C","1","1",329348,9980.24242424242,20380,1571,33
"1000089","F","55+","9","C","1","1",112226,8632.76923076923,19044,1747,13
"1000090","M","55+","13","C","1","0",1300498,9562.48529411765,23456,560,136
"1000091","M","36-45","7","C","3","1",202282,9194.63636363636,19612,5252,22
"1000092","F","18-25","4","B","1","0",1554510,7098.21917808219,19648,705,219
"1000093","M","26-35","17","B","1","1",1235935,11235.7727272727,19677,2139,110
"1000094","M","26-35","17","C","1","0",49288,7041.14285714286,15482,2995,7
"1000095","M","46-50","0","C","4","1",557228,10513.7358490566,20500,3461,53
"1000096","F","26-35","16","C","2","1",436312,10388.380952381,19500,1577,42
"1000097","F","36-45","3","C","3","0",859748,10614.1728395062,23825,939,81
"1000098","F","36-45","7","C","2","1",149114,12426.1666666667,19601,5148,12
"1000099","F","0-17","10","C","1","0",490315,8037.95081967213,20597,586,61
"1000100","M","36-45","17","C","4","0",415273,11223.5945945946,15993,4109,37
"1000101","F","18-25","3","A","1","0",1061858,17407.5081967213,19686,3540,61
"1000102","M","36-45","19","C","3","0",625313,7533.89156626506,23719,744,83
"1000103","M","46-50","7","B","2","1",951210,15593.606557377,19681,1447,61
"1000104","M","26-35","12","C","3","1",204333,7858.96153846154,19553,1941,26
"1000105","M","46-50","12","C","1","1",608788,16020.7368421053,19698,4039,38
"1000106","F","36-45","11","C","4","0",227015,8107.67857142857,19703,777,28
"1000107","M","46-50","18","C","4","0",570676,9058.34920634921,23380,1058,63
"1000108","M","26-35","12","C","3","0",120872,8633.71428571429,16276,1739,14
"1000109","M","46-50","15","C","1","1",468318,10891.1162790698,19429,1393,43
"1000110","M","26-35","2","B","4","0",419990,10768.9743589744,20660,1738,39
"1000111","M","36-45","15","C","3","0",504754,9523.66037735849,20312,555,53
"1000112","M","26-35","16","C","3","1",413216,14248.8275862069,23766,3111,29
"1000113","M","18-25","12","C","2","0",360020,10286.2857142857,19697,1497,35
"1000114","F","26-35","2","C","0","0",405210,8269.59183673469,16201,716,49
"1000116","M","26-35","17","C","2","1",571891,10590.5740740741,19651,1732,54
"1000117","M","26-35","17","A","2","1",2623447,9609.69597069597,23405,561,273
"1000118","M","36-45","17","C","4","0",1289117,11113.0775862069,19652,936,116
"1000119","F","0-17","10","C","1","0",401939,7583.75471698113,15837,1465,53
"1000120","M","26-35","11","C","0","0",333835,10768.8709677419,21293,564,31
"1000121","M","36-45","7","C","2","0",580479,14511.975,21439,3627,40
"1000122","F","18-25","4","C","1","0",271183,10430.1153846154,15848,3094,26
"1000123","M","36-45","9","B","4","1",3178782,9240.64534883721,20650,573,344
"1000124","M","55+","7","C","1","1",135960,9711.42857142857,16309,5164,14
"1000125","M","46-50","14","B","3","1",504628,14017.4444444444,19611,3643,36
"1000126","M","18-25","9","B","1","0",323542,11555.0714285714,23233,3638,28
"1000127","F","46-50","3","C","1","1",1126159,11730.8229166667,20613,568,96
"1000128","M","55+","6","A","1","1",139365,11613.75,20872,3530,12
"1000129","M","26-35","11","C","2","0",1208435,14918.950617284,23836,1949,81
"1000130","M","36-45","17","B","3","1",1235981,16051.7012987013,19707,1547,77
"1000131","M","18-25","4","C","4","0",1239022,8315.58389261745,21033,371,149
"1000132","M","26-35","17","C","1","0",345438,7676.4,19474,1882,45
"1000133","F","26-35","0","C","1","1",799900,8790.10989010989,20420,1380,91
"1000134","M","26-35","0","C","3","1",877030,8683.46534653465,19559,1488,101
"1000135","M","18-25","4","C","1","1",345023,9583.97222222222,20264,1505,36
"1000136","M","18-25","2","B","3","0",1528293,6853.33183856502,20696,361,223
"1000137","F","46-50","6","C","4","1",1237551,10227.694214876,19415,562,121
"1000138","M","18-25","20","C","1","1",580873,16596.3714285714,20662,8583,35
"1000139","F","26-35","20","C","2","0",1467790,11036.015037594,23595,759,133
"1000140","F","36-45","1","B","3","0",309665,9989.1935483871,20084,770,31
"1000141","M","36-45","13","C","1","1",106191,8849.25,23701,768,12
"1000142","M","26-35","7","A","2","0",301086,9123.81818181818,20214,882,33
"1000143","M","18-25","3","C","0","0",375606,10433.5,19662,1990,36
"1000144","M","26-35","17","C","1","1",234047,10638.5,20923,759,22
"1000145","M","18-25","4","C","4","0",195522,6742.13793103448,19455,584,29
"1000146","F","36-45","20","B","3","1",2193311,9619.7850877193,23695,390,228
"1000147","M","18-25","4","B","4","0",1086250,11555.8510638298,20585,3483,94
"1000148","M","51-55","17","B","3","1",3552882,10766.3090909091,20866,577,330
"1000149","M","26-35","1","B","2","1",3585405,11274.858490566,23144,572,318
"1000150","M","36-45","7","B","0","1",1220735,9178.45864661654,23438,2857,133
"1000151","F","26-35","20","A","1","1",2490911,8992.45848375451,21343,694,277
"1000152","M","18-25","4","A","3","0",116605,7773.66666666667,10912,2279,15
"1000153","M","0-17","10","C","0","0",116283,8944.84615384615,20679,1378,13
"1000154","M","51-55","20","A","4","1",281332,8274.47058823529,20638,1675,34
"1000155","M","36-45","12","C","4","1",330854,6617.08,20634,731,50
"1000156","F","46-50","7","C","4","1",682169,9095.58666666667,20719,742,75
"1000157","M","36-45","16","A","1","0",2195271,10258.2757009346,23313,1479,214
"1000158","M","55+","7","C","2","1",184952,13210.8571428571,23726,3660,14
"1000159","F","46-50","0","A","1","1",203242,9238.27272727273,19614,3049,22
"1000160","M","36-45","7","C","3","0",84567,9396.33333333333,16375,2058,9
"1000161","M","46-50","16","C","4","1",1804228,10309.8742857143,23441,960,175
"1000162","F","18-25","4","C","4","0",686358,12479.2363636364,20334,1490,55
"1000163","M","18-25","4","A","1","0",1599103,6080.23954372624,20187,390,263
"1000164","F","55+","13","C","1","0",155793,8655.16666666667,19339,1058,18
"1000165","M","18-25","16","A","1","0",586663,10666.6,20648,580,55
"1000166","M","18-25","4","B","1","1",2012181,9627.66028708134,23187,584,209
"1000167","F","26-35","11","B","4","0",175118,6485.85185185185,16121,1971,27
"1000168","F","51-55","0","C","0","1",134217,10324.3846153846,19391,4035,13
"1000169","M","26-35","7","B","3","0",2730938,9164.22147651007,20582,361,298
"1000170","M","26-35","11","C","1","1",537275,12792.2619047619,21401,1742,42
"1000171","F","51-55","17","B","1","1",208924,13928.2666666667,20784,6029,15
"1000172","M","26-35","3","C","2","0",213016,14201.0666666667,23511,5432,15
"1000173","M","26-35","0","B","1","1",3121418,10234.1573770492,21330,759,305
"1000174","M","26-35","16","C","2","0",724186,13926.6538461538,21189,2054,52
"1000175","F","26-35","2","B","1","0",1426925,8595.93373493976,23608,1727,166
"1000176","F","18-25","3","C","1","0",305743,8263.32432432433,18991,1994,37
"1000177","M","51-55","1","B","3","1",356812,13215.2592592593,21033,2859,27
"1000178","M","55+","17","A","2","1",532634,8194.36923076923,19171,574,65
"1000179","M","26-35","0","A","1","0",486738,7374.81818181818,18657,1581,66
"1000180","M","46-50","12","C","4","0",241908,8341.65517241379,18612,2753,29
"1000181","M","18-25","17","C","1","0",1740869,10550.7212121212,21259,687,165
"1000182","M","18-25","4","C","0","0",490892,9090.59259259259,19488,2005,54
"1000183","F","46-50","1","B","1","1",653861,10378.746031746,23677,741,63
"1000184","F","26-35","0","C","4","1",568980,11156.4705882353,20373,2148,51
"1000185","M","46-50","0","C","0","0",402460,14373.5714285714,19529,7745,28
"1000186","M","18-25","5","C","0","0",630314,11255.6071428571,20903,2083,56
"1000187","F","46-50","1","B","1","0",2197299,9271.30379746835,21012,762,237
"1000188","M","55+","16","C","2","0",402149,9808.51219512195,23754,3697,41
"1000189","M","18-25","0","B","2","0",190987,10610.3888888889,20824,1988,18
"1000190","M","26-35","17","A","1","0",752207,9897.46052631579,23296,1835,76
"1000191","M","18-25","4","C","1","1",117323,7332.6875,15557,3460,16
"1000192","M","18-25","1","B","2","0",2360703,8491.73741007194,20750,562,278
"1000193","F","46-50","15","C","1","1",1174058,8761.62686567164,23588,754,134
"1000194","F","0-17","10","C","3","0",253350,7451.47058823529,19231,1741,34
"1000195","M","26-35","12","B","4","1",4311378,9645.14093959732,23787,742,447
"1000196","F","36-45","9","C","4","0",227342,11965.3684210526,20686,5411,19
"1000197","M","18-25","14","A","3","0",143289,8955.5625,19052,3502,16
"1000198","M","26-35","12","A","0","1",2071284,10203.3694581281,20469,747,203
"1000199","M","18-25","4","B","1","0",1749407,8925.54591836735,20838,569,196
"1000200","F","18-25","4","C","0","0",129684,9263.14285714286,19216,3509,14
"1000201","F","36-45","2","A","1","0",447155,9315.72916666667,18383,5143,48
"1000202","M","18-25","4","A","3","0",3117097,8424.58648648649,20556,403,370
"1000203","F","18-25","4","B","1","1",389087,5985.95384615385,20052,1372,65
"1000204","M","26-35","7","B","1","1",2391437,9922.97510373444,20833,1398,241
"1000205","M","36-45","12","A","1","0",897014,11074.2469135802,23468,697,81
"1000206","M","26-35","17","C","1","0",152341,10156.0666666667,19440,1855,15
"1000207","M","26-35","12","B","1","1",94326,7860.5,15486,1919,12
"1000208","M","36-45","17","C","1","1",1076481,10252.2,23212,1490,105
"1000209","M","36-45","1","B","4","0",86732,6671.69230769231,11651,3454,13
"1000210","F","0-17","10","C","0","0",878963,15695.7678571429,19698,3829,56
"1000211","M","46-50","17","C","1","1",224683,10699.1904761905,21441,745,21
"1000212","M","26-35","16","C","3","0",656205,10095.4615384615,19558,752,65
"1000213","F","18-25","4","C","1","0",98148,10905.3333333333,19579,2163,9
"1000214","M","18-25","20","C","1","0",746069,8198.56043956044,23590,719,91
"1000215","M","36-45","14","C","1","1",237988,14874.25,23215,3940,16
"1000216","M","46-50","13","B","1","0",3071046,7329.46539379475,20732,396,419
"1000217","M","18-25","4","A","1","0",135667,11305.5833333333,20186,2142,12
"1000218","M","36-45","14","C","3","1",373767,7786.8125,23076,1796,48
"1000219","F","26-35","4","A","0","0",163212,8590.1052631579,19085,3581,19
"1000220","M","26-35","12","A","3","0",608957,11071.9454545455,23499,555,55
"1000221","F","26-35","0","B","2","1",130596,7255.33333333333,16682,404,18
"1000222","M","26-35","1","A","1","0",428425,11274.3421052632,20447,2736,38
"1000223","M","26-35","17","B","4","0",1095004,8622.07874015748,19685,819,127
"1000225","M","26-35","7","A","0","0",2405765,8531.08156028369,20583,390,282
"1000226","M","36-45","1","C","1","0",93001,9300.1,12101,6073,10
"1000227","M","36-45","20","B","0","0",157311,9831.9375,20772,3697,16
"1000228","M","26-35","15","A","1","0",233015,11095.9523809524,20742,3470,21
"1000229","M","18-25","10","C","1","0",899968,7964.3185840708,21077,1046,113
"1000230","M","46-50","1","C","1","0",1044405,10879.21875,23349,771,96
"1000231","M","26-35","3","A","1","0",570144,11635.5918367347,20878,950,49
"1000232","M","26-35","20","A","1","1",412081,7775.11320754717,21006,1714,53
"1000233","F","46-50","20","C","2","1",271777,10065.8148148148,19582,1723,27
"1000234","M","36-45","7","C","2","0",197800,9890,23404,1716,20
"1000235","M","26-35","0","B","0","0",2634717,9979.98863636364,23826,692,264
"1000236","M","26-35","5","B","2","0",361270,11653.8709677419,23797,2124,31
"1000237","M","26-35","6","C","1","1",651967,7493.87356321839,20742,762,87
"1000238","F","51-55","7","B","0","0",1166575,8515.14598540146,20342,2827,137
"1000239","M","18-25","19","A","1","0",364854,10134.8333333333,20072,2009,36
"1000240","M","51-55","17","A","1","1",829762,9997.13253012048,19647,568,83
"1000241","M","36-45","20","C","1","1",300192,12007.68,23512,948,25
"1000242","F","18-25","4","A","3","0",1469303,9183.14375,20800,569,160
"1000243","M","26-35","16","C","1","0",107183,7655.92857142857,19222,1958,14
"1000244","M","51-55","7","B","3","1",541740,10834.8,23283,2877,50
"1000245","M","36-45","16","B","0","0",2904568,6834.27764705882,23594,380,425
"1000246","F","18-25","4","C","1","0",128069,9851.46153846154,19366,3532,13
"1000247","M","26-35","17","B","1","0",179944,8568.7619047619,16278,2059,21
"1000248","M","18-25","17","B","1","1",235693,13864.2941176471,20188,5454,17
"1000249","F","18-25","14","C","2","0",674807,11062.4098360656,20598,1751,61
"1000250","M","36-45","16","C","1","0",112574,10234,16500,3722,11
"1000251","M","55+","17","A","0","1",408221,10467.2051282051,19520,3096,39
"1000252","M","26-35","12","C","3","0",368735,13169.1071428571,19600,3630,28
"1000253","F","26-35","11","C","1","0",258476,9231.28571428571,20165,2279,28
"1000254","M","36-45","17","C","4","0",113747,9478.91666666667,15837,4518,12
"1000255","M","36-45","0","C","1","1",1426942,11235.7637795276,19653,2815,127
"1000256","M","46-50","16","C","3","0",860222,15640.4,23373,7592,55
"1000257","M","18-25","18","A","1","0",445108,13091.4117647059,20488,944,34
"1000258","M","26-35","7","C","0","1",783543,10447.24,20982,768,75
"1000259","M","26-35","1","B","4","0",822973,10687.961038961,23119,3784,77
"1000260","M","18-25","19","C","1","0",1091983,12697.476744186,19707,3948,86
"1000261","M","26-35","20","A","4","0",1956215,9315.30952380952,23471,564,210
"1000262","F","26-35","1","C","1","0",611913,10198.55,19637,2764,60
"1000263","F","26-35","7","C","1","0",499347,10624.4042553191,19929,2741,47
"1000264","M","36-45","0","B","1","1",2078288,7725.97769516729,23278,387,269
"1000265","F","36-45","7","A","4","1",414690,7974.80769230769,19530,1070,52
"1000266","M","36-45","11","C","3","0",296975,10240.5172413793,20086,765,29
"1000267","M","46-50","12","C","1","1",559745,7564.12162162162,16395,2182,74
"1000268","F","18-25","12","C","1","0",1179475,8672.61029411765,19683,1565,136
"1000269","M","26-35","2","A","1","1",119678,7479.875,20533,1659,16
"1000270","M","51-55","14","B","2","1",922239,12296.52,23605,747,75
"1000271","M","18-25","4","C","1","0",1928306,10479.9239130435,23160,1486,184
"1000272","M","18-25","0","A","1","0",2823699,10305.4708029197,20683,747,274
"1000273","M","18-25","4","B","2","1",1233087,10722.4956521739,20254,402,115
"1000274","M","18-25","4","A","4","0",850749,11048.6883116883,23433,3428,77
"1000275","M","26-35","0","C","3","1",544614,10473.3461538462,23355,1886,52
"1000276","M","46-50","16","C","4","0",171897,9549.83333333333,20267,3149,18
"1000277","F","36-45","1","C","2","0",175796,11719.7333333333,20674,4039,15
"1000278","M","46-50","18","C","4","1",836042,7670.11009174312,19608,2974,109
"1000279","M","26-35","14","C","3","0",233557,8982.96153846154,19052,3550,26
"1000280","M","51-55","7","C","0","1",178434,7137.36,19352,773,25
"1000281","F","36-45","0","A","2","0",596211,9172.47692307692,20471,2007,65
"1000282","M","26-35","17","C","4","1",164620,11758.5714285714,20540,580,14
"1000283","M","26-35","0","B","1","0",244500,14382.3529411765,19684,7490,17
"1000284","M","26-35","12","B","3","1",2170877,8223.01893939394,20653,212,264
"1000285","F","36-45","0","A","1","0",765814,11261.9705882353,21053,762,68
"1000286","M","26-35","1","C","3","0",235501,10239.1739130435,20435,565,23
"1000287","M","51-55","13","B","1","1",565356,8973.90476190476,23578,2150,63
"1000289","F","26-35","0","C","1","0",457657,12712.6944444444,19520,925,36
"1000290","F","26-35","20","C","4","0",148411,9275.6875,20394,2073,16
"1000291","M","36-45","12","B","2","0",453114,8549.32075471698,19452,713,53
"1000292","M","36-45","7","C","0","1",258337,11232.0434782609,19362,5404,23
"1000293","M","55+","1","C","1","1",1231386,7159.22093023256,20765,1523,172
"1000294","F","46-50","9","C","3","1",123841,7284.76470588235,16234,1905,17
"1000295","M","18-25","0","C","4","0",1176813,11537.3823529412,20347,1472,102
"1000296","M","51-55","5","C","4","1",482076,8608.5,21500,1519,56
"1000297","M","18-25","2","C","3","1",557673,12123.3260869565,19550,5157,46
"1000298","F","18-25","4","C","2","0",129789,9983.76923076923,15748,5265,13
"1000299","M","26-35","12","C","4","0",717925,11217.578125,23402,1762,64
"1000300","M","26-35","7","B","4","1",1716909,11600.7364864865,23683,190,148
"1000301","M","18-25","4","B","4","0",1899509,9741.0717948718,20606,1558,195
"1000302","M","18-25","4","B","4","0",3159884,7149.05882352941,20352,375,442
"1000303","M","26-35","7","C","1","1",1049905,8822.73109243697,20513,1761,119
"1000304","M","26-35","0","B","1","0",182592,14045.5384615385,23768,2168,13
"1000305","F","18-25","0","B","3","1",505086,5490.0652173913,19250,1475,92
"1000306","M","18-25","0","C","3","0",1154185,10492.5909090909,20682,751,110
"1000307","M","51-55","16","B","0","1",1281573,11650.6636363636,23879,752,110
"1000308","M","26-35","2","A","3","1",2718122,8656.43949044586,23152,569,314
"1000309","M","26-35","4","B","1","0",679075,11317.9166666667,20388,561,60
"1000310","F","18-25","4","C","1","0",920662,7802.22033898305,19158,756,118
"1000311","M","18-25","4","C","3","1",165653,15059.3636363636,19385,7770,11
"1000312","F","51-55","2","B","0","0",227814,8437.55555555555,19460,5143,27
"1000313","F","18-25","4","A","4","0",128453,9881,19222,757,13
"1000314","F","55+","9","C","1","0",1468761,8589.24561403509,23671,574,171
"1000315","F","55+","1","A","3","1",84882,7073.5,19666,749,12
"1000316","M","55+","13","C","1","0",555750,14250,23541,2815,39
"1000317","M","36-45","7","C","3","0",120376,9259.69230769231,23118,2847,13
"1000318","F","55+","13","A","1","1",114912,9576,15871,5775,12
"1000319","F","51-55","6","B","3","1",3254371,7841.8578313253,23770,216,415
"1000320","M","36-45","6","C","4","0",91410,11426.25,19537,7529,8
"1000321","M","18-25","4","B","3","0",1337649,10211.0610687023,21478,1493,131
"1000322","M","55+","17","A","3","1",170245,10640.3125,19389,1758,16
"1000323","M","46-50","12","C","1","0",545719,9574.01754385965,23314,377,57
"1000324","M","36-45","17","B","0","1",431476,9379.91304347826,20961,357,46
"1000325","F","51-55","3","A","1","0",195099,7803.96,19098,1823,25
"1000326","M","51-55","11","B","1","1",1729382,8081.22429906542,20398,580,214
"1000327","M","36-45","18","C","4","0",1257891,9602.2213740458,21419,563,131
"1000328","M","36-45","12","C","2","0",360181,11255.65625,19012,2972,32
"1000329","M","36-45","7","A","1","0",2901095,6715.49768518519,23544,374,432
"1000330","M","55+","7","C","2","0",439870,11278.7179487179,23768,742,39
"1000331","M","26-35","7","B","1","0",3184784,9592.72289156627,23190,386,332
"1000332","M","51-55","1","C","3","1",403823,10095.575,20130,2010,40
"1000333","M","36-45","2","A","0","1",845584,6357.77443609023,15280,379,133
"1000334","F","55+","2","A","3","1",328893,8433.15384615385,19152,1384,39
"1000335","M","36-45","18","C","0","1",754240,8198.26086956522,20436,1751,92
"1000336","M","18-25","0","C","4","0",738346,13184.75,23555,561,56
"1000337","M","18-25","19","C","0","0",1096611,11189.9081632653,23230,1551,98
"1000338","M","36-45","7","A","1","0",1949317,9996.49743589744,20707,745,195
"1000339","M","51-55","7","C","1","1",595183,9017.92424242424,19128,4033,66
"1000340","F","26-35","3","C","1","1",447833,7590.38983050847,19443,581,59
"1000341","F","55+","13","C","2","1",137534,13753.4,19552,7781,10
"1000342","M","18-25","12","C","4","0",758556,10683.8873239437,20359,746,71
"1000343","F","36-45","3","B","2","0",1648310,10703.3116883117,20903,578,154
"1000344","M","36-45","14","C","1","1",520223,10004.2884615385,20329,1744,52
"1000345","M","26-35","12","A","2","1",154655,11046.7857142857,20684,5930,14
"1000346","F","26-35","0","B","2","0",1498664,8867.83431952663,20072,775,169
"1000347","F","55+","1","A","1","0",493985,8666.40350877193,20622,3547,57
"1000348","M","51-55","7","B","2","1",448023,8453.2641509434,19184,347,53
"1000349","M","0-17","10","C","0","0",1428700,9399.34210526316,20554,1562,152
"1000350","M","46-50","20","C","3","0",348962,10905.0625,20007,2068,32
"1000351","M","18-25","4","A","4","0",721502,11637.1290322581,19667,739,62
"1000352","M","18-25","4","A","0","0",4281765,8995.30462184874,23490,393,476
"1000353","F","36-45","7","C","1","1",154337,12861.4166666667,20642,2027,12
"1000354","M","36-45","1","A","1","0",280864,9684.96551724138,21101,1943,29
"1000355","M","18-25","3","B","2","0",2345870,9536.05691056911,19655,574,246
"1000356","M","55+","20","C","0","1",142643,11886.9166666667,20566,4514,12
"1000357","M","18-25","0","A","4","0",331204,8951.45945945946,20668,693,37
"1000359","M","26-35","17","B","1","0",195546,10291.8947368421,19579,2760,19
"1000360","M","36-45","17","C","1","0",405715,11932.7941176471,16444,2836,34
"1000361","F","26-35","14","B","3","0",77648,7764.8,15596,2025,10
"1000362","M","36-45","20","B","1","0",248250,9930,19408,1716,25
"1000363","M","18-25","10","B","1","1",295123,11350.8846153846,20218,2014,26
"1000364","F","36-45","1","C","3","0",86685,6668.07692307692,12085,2249,13
"1000365","F","18-25","4","A","1","0",179199,7167.96,20789,1980,25
"1000366","M","51-55","15","B","1","1",1374493,10412.8257575758,23083,934,132
"1000368","M","26-35","0","C","1","0",2001167,10532.4578947368,20874,581,190
"1000369","M","36-45","1","B","2","0",319430,6654.79166666667,15598,1720,48
"1000370","M","18-25","17","C","3","0",383334,10952.4,20549,3209,35
"1000371","M","18-25","4","B","4","0",428619,8929.5625,21007,2025,48
"1000372","F","18-25","4","C","2","0",1032644,13410.961038961,19687,2134,77
"1000373","F","26-35","2","C","1","1",194127,11419.2352941176,19434,2053,17
"1000374","F","36-45","14","C","0","0",397986,15307.1538461538,20494,2279,26
"1000375","M","26-35","2","B","1","0",298961,9965.36666666667,20215,5270,30
"1000376","M","36-45","1","C","4","1",512419,9668.28301886793,20165,560,53
"1000377","M","26-35","17","B","2","0",920696,11957.0909090909,21513,753,77
